1.000000e+00	4.150000e+01	4.707127e-02
1.000000e+00	4.150040e+01	4.707289e-02
1.000000e+00	4.150080e+01	4.707452e-02
1.000000e+00	4.150120e+01	4.707614e-02
1.000000e+00	4.150160e+01	4.707777e-02
1.000000e+00	4.150200e+01	4.707939e-02
1.000000e+00	4.150240e+01	4.708102e-02
1.000000e+00	4.150280e+01	4.708264e-02
1.000000e+00	4.150320e+01	4.708427e-02
1.000000e+00	4.150360e+01	4.708589e-02
1.000000e+00	4.150400e+01	4.708752e-02
1.000000e+00	4.150440e+01	4.708915e-02
1.000000e+00	4.150480e+01	4.709077e-02
1.000000e+00	4.150520e+01	4.709240e-02
1.000000e+00	4.150560e+01	4.709403e-02
1.000000e+00	4.150600e+01	4.709566e-02
1.000000e+00	4.150640e+01	4.709729e-02
1.000000e+00	4.150680e+01	4.709891e-02
1.000000e+00	4.150720e+01	4.710054e-02
1.000000e+00	4.150760e+01	4.710217e-02
1.000000e+00	4.150800e+01	4.710380e-02
1.000000e+00	4.150840e+01	4.710543e-02
1.000000e+00	4.150880e+01	4.710706e-02
1.000000e+00	4.150920e+01	4.710869e-02
1.000000e+00	4.150960e+01	4.711032e-02
1.000000e+00	4.151000e+01	4.711195e-02
1.000000e+00	4.151040e+01	4.711358e-02
1.000000e+00	4.151080e+01	4.711521e-02
1.000000e+00	4.151120e+01	4.711684e-02
1.000000e+00	4.151160e+01	4.711848e-02
1.000000e+00	4.151200e+01	4.712011e-02
1.000000e+00	4.151240e+01	4.712174e-02
1.000000e+00	4.151280e+01	4.712337e-02
1.000000e+00	4.151320e+01	4.712501e-02
1.000000e+00	4.151360e+01	4.712664e-02
1.000000e+00	4.151400e+01	4.712827e-02
1.000000e+00	4.151440e+01	4.712991e-02
1.000000e+00	4.151480e+01	4.713154e-02
1.000000e+00	4.151520e+01	4.713318e-02
1.000000e+00	4.151560e+01	4.713481e-02
1.000000e+00	4.151600e+01	4.713645e-02
1.000000e+00	4.151640e+01	4.713808e-02
1.000000e+00	4.151680e+01	4.713972e-02
1.000000e+00	4.151720e+01	4.714135e-02
1.000000e+00	4.151760e+01	4.714299e-02
1.000000e+00	4.151800e+01	4.714462e-02
1.000000e+00	4.151840e+01	4.714626e-02
1.000000e+00	4.151880e+01	4.714790e-02
1.000000e+00	4.151920e+01	4.714954e-02
1.000000e+00	4.151960e+01	4.715117e-02
1.000000e+00	4.152000e+01	4.715281e-02
1.000000e+00	4.152040e+01	4.715445e-02
1.000000e+00	4.152080e+01	4.715609e-02
1.000000e+00	4.152120e+01	4.715773e-02
1.000000e+00	4.152160e+01	4.715937e-02
1.000000e+00	4.152200e+01	4.716100e-02
1.000000e+00	4.152240e+01	4.716264e-02
1.000000e+00	4.152280e+01	4.716428e-02
1.000000e+00	4.152320e+01	4.716592e-02
1.000000e+00	4.152360e+01	4.716756e-02
1.000000e+00	4.152400e+01	4.716921e-02
1.000000e+00	4.152440e+01	4.717085e-02
1.000000e+00	4.152480e+01	4.717249e-02
1.000000e+00	4.152520e+01	4.717413e-02
1.000000e+00	4.152560e+01	4.717577e-02
1.000000e+00	4.152600e+01	4.717741e-02
1.000000e+00	4.152640e+01	4.717906e-02
1.000000e+00	4.152680e+01	4.718070e-02
1.000000e+00	4.152720e+01	4.718234e-02
1.000000e+00	4.152760e+01	4.718399e-02
1.000000e+00	4.152800e+01	4.718563e-02
1.000000e+00	4.152840e+01	4.718727e-02
1.000000e+00	4.152880e+01	4.718892e-02
1.000000e+00	4.152920e+01	4.719056e-02
1.000000e+00	4.152960e+01	4.719221e-02
1.000000e+00	4.153000e+01	4.719385e-02
1.000000e+00	4.153040e+01	4.719550e-02
1.000000e+00	4.153080e+01	4.719714e-02
1.000000e+00	4.153120e+01	4.719879e-02
1.000000e+00	4.153160e+01	4.720043e-02
1.000000e+00	4.153200e+01	4.720208e-02
1.000000e+00	4.153240e+01	4.720373e-02
1.000000e+00	4.153280e+01	4.720538e-02
1.000000e+00	4.153320e+01	4.720702e-02
1.000000e+00	4.153360e+01	4.720867e-02
1.000000e+00	4.153400e+01	4.721032e-02
1.000000e+00	4.153440e+01	4.721197e-02
1.000000e+00	4.153480e+01	4.721362e-02
1.000000e+00	4.153520e+01	4.721526e-02
1.000000e+00	4.153560e+01	4.721691e-02
1.000000e+00	4.153600e+01	4.721856e-02
1.000000e+00	4.153640e+01	4.722021e-02
1.000000e+00	4.153680e+01	4.722186e-02
1.000000e+00	4.153720e+01	4.722351e-02
1.000000e+00	4.153760e+01	4.722516e-02
1.000000e+00	4.153800e+01	4.722681e-02
1.000000e+00	4.153840e+01	4.722847e-02
1.000000e+00	4.153880e+01	4.723012e-02
1.000000e+00	4.153920e+01	4.723177e-02
1.000000e+00	4.153960e+01	4.723342e-02
1.000000e+00	4.154000e+01	4.723507e-02
1.000000e+00	4.154040e+01	4.723673e-02
1.000000e+00	4.154080e+01	4.723838e-02
1.000000e+00	4.154120e+01	4.724003e-02
1.000000e+00	4.154160e+01	4.724169e-02
1.000000e+00	4.154200e+01	4.724334e-02
1.000000e+00	4.154240e+01	4.724499e-02
1.000000e+00	4.154280e+01	4.724665e-02
1.000000e+00	4.154320e+01	4.724830e-02
1.000000e+00	4.154360e+01	4.724996e-02
1.000000e+00	4.154400e+01	4.725161e-02
1.000000e+00	4.154440e+01	4.725327e-02
1.000000e+00	4.154480e+01	4.725492e-02
1.000000e+00	4.154520e+01	4.725658e-02
1.000000e+00	4.154560e+01	4.725824e-02
1.000000e+00	4.154600e+01	4.725989e-02
